id,inmate_id,location_id,date
421,2012-1211164,7,2012-12-13
422,2012-0914196,6,2013-01-25
423,2012-0726120,76,2013-01-07
424,2012-0810127,31,2012-12-13
425,2012-0325068,149,2013-01-30
426,2012-0717071,46,2013-01-11
427,2012-1207192,73,2012-12-28
428,2012-1212137,150,2012-12-17
429,2012-0707058,12,2013-01-08
430,2012-0603096,83,2013-01-02
431,2012-1018143,39,2013-01-17
432,2012-0830222,37,2013-01-09
433,2012-1122031,114,2012-12-18
434,2012-0612140,37,2012-12-19
435,2012-0829070,1,2013-01-03
436,2012-1105067,25,2012-12-19
437,2012-0816134,20,2013-01-04
438,2011-0711085,99,2013-02-01
439,2012-0913208,51,2012-12-19
440,2012-1002094,102,2012-12-17
441,2011-0215054,28,2013-01-08
442,2012-1127047,41,2012-12-18
443,2007-0076735,52,2012-12-13
444,2012-1209167,57,2012-12-24
445,2012-0724094,46,2013-01-18
446,2012-1207161,30,2012-12-13
447,2011-0925057,35,2013-01-17
448,2010-0607218,5,2012-12-19
449,2012-1203090,126,2012-12-31
450,2010-1230187,102,2012-12-14
451,2011-0922196,155,2012-12-18
452,2012-1007184,47,2012-12-19
453,2012-1029077,25,2013-01-17
454,2010-1013113,20,2013-01-14
455,2012-1209028,156,2012-12-21
456,2012-1009006,7,2013-01-24
457,2012-0720120,37,2012-12-13
458,2012-1119126,20,2012-12-19
459,2012-0718258,38,2012-12-13
460,2012-0511164,72,2013-01-03
461,2012-0703166,38,2013-01-17
462,2012-0311074,52,2013-01-08
463,2012-1106075,25,2013-01-23
464,2012-0716103,83,2013-01-07
465,2012-0713083,140,2012-12-20
466,2012-0529134,102,2013-01-23
467,2012-1212115,157,2013-01-03
468,2012-0802116,35,2013-01-15
469,2012-0618085,68,2013-01-16
470,2012-1130168,53,2012-12-14
471,2012-1212142,157,2013-01-08
472,2012-1205166,147,2012-12-28
473,2012-1005268,32,2013-01-07
474,2012-0527129,2,2013-01-23
475,2012-0927081,37,2013-01-03
476,2011-0418156,59,2013-01-23
477,2012-1009155,76,2013-01-10
478,2012-0317161,4,2013-01-10
479,2012-1031089,2,2013-01-02
480,2011-1219125,27,2012-12-17
481,2012-1109091,25,2012-12-19
482,2012-1204063,57,2012-12-31
483,2012-0327056,68,2013-01-03
484,2012-0822102,158,2013-01-10
485,2012-1027067,102,2013-01-04
486,2011-0920162,66,2013-01-10
487,2011-0819217,159,2013-01-03
488,2012-0227064,35,2012-12-20
489,2012-1123053,160,2012-12-13
490,2012-0725130,47,2013-01-07
491,2012-1122176,82,2013-01-07
492,2009-0047218,44,2012-12-17
493,2012-0927151,3,2012-12-18
494,2012-1106039,7,2012-12-19
495,2012-1202091,57,2012-12-20
496,2010-1028093,28,2013-01-08
497,2012-1115174,46,2012-12-17
498,2012-0319066,35,2013-01-10
499,2012-1021089,98,2013-01-03
500,2011-0911083,35,2013-01-11
501,2012-1203131,161,2012-12-31
502,2012-1107001,82,2012-12-19
503,2012-0126234,6,2013-01-15
504,2012-1030140,48,2013-01-14
505,2012-0924110,66,2012-12-20
506,2012-1017150,27,2013-01-04
507,2012-1106106,112,2013-02-07
508,2012-0830083,77,2012-12-13
509,2012-1031163,102,2013-01-22
510,2012-1114025,82,2013-01-02
511,2012-0821149,55,2012-12-19
512,2012-0912173,162,2013-01-02
513,2012-1010016,77,2013-01-09
514,2010-0728120,23,2012-12-14
515,2012-1119211,73,2012-12-17
516,2012-1119183,156,2013-01-11
517,2012-0820082,56,2013-01-09
518,2012-1007104,68,2012-12-14
519,2012-1203005,165,2012-12-20
520,2012-0217120,83,2013-01-23
521,2012-0609142,1,2013-01-08
522,2011-0824142,80,2013-01-04
523,2012-0415158,12,2013-01-28
524,2012-1205138,57,2012-12-31
525,2011-0812126,90,2013-01-15
526,2012-0713110,38,2013-01-07
527,2012-1120107,25,2012-12-17
528,2012-1122025,25,2012-12-21
529,2012-1207141,71,2012-12-17
530,2012-1029207,1,2012-12-14
531,2012-1012101,23,2012-12-13
532,2012-0921148,112,2012-12-19
533,2012-0810212,7,2013-01-09
534,2012-0413141,52,2012-12-28
535,2012-1007114,83,2013-01-16
536,2011-1014051,66,2013-01-02
537,2012-0611064,12,2012-12-18
538,2012-1003133,80,2012-12-19
539,2012-0622204,6,2013-01-04
540,2012-0821108,25,2013-01-03
541,2012-1009094,140,2013-01-18
542,2012-0820208,102,2013-01-25
543,2012-0920237,44,2013-01-24
544,2012-0831107,58,2012-12-13
545,2012-0628041,168,2013-01-08
546,2011-0609127,31,2012-12-17
547,2011-0624096,170,2013-01-22
548,2011-0521162,37,2013-01-17
549,2012-1116160,69,2012-12-14
550,2011-1119169,66,2013-01-16
551,2012-1124018,25,2012-12-21
552,2012-0213119,80,2013-01-14
553,2012-0609188,45,2012-12-13
554,2012-1208093,73,2012-12-27
